,type,tag_name,discription,sheet_name,label,비고
77,Turbine1,M1.CV_AMS,BFPM MINIMUM FCV    CO,BFPM_bfpm_performance,BFPM performance,MIN_FCV_DEMAND
78,Turbine1,M1.CV_AMS_DPY,BFPM MINI FLOW  CV POSN,BFPM_bfpm_performance,BFPM performance,
79,Turbine1,M1.DAF_EX,BFPM AMPS,BFPM_bfpm_performance,BFPM performance,MOTOR_CURRENT
80,Turbine1,M1.DA_PU_AV,BFPM SPEED,BFPM_bfpm_performance,BFPM performance,
81,Turbine1,M1.DBZONE_HP_1,BFPM BSTR PP    SUCT PRESS (1C),BFPM_bfpm_performance,BFPM performance,
82,Turbine1,M1.DBZONE_HP_2,BFPM BSTR PP    SUCT PRESS (2C),BFPM_bfpm_performance,BFPM performance,
83,Turbine1,M1.DBZONE_HP_3,BFPM BSTR PP    SUCT TEMP,BFPM_bfpm_performance,BFPM performance,
84,Turbine1,M1.DBZONE_RH_1,BRP INNER BODY  TEMP,BCP_bcp_reliability,BCP reliability,CASING_TEMPERATURE_1
85,Turbine1,M1.DBZONE_RH_2,BRP MID BODY    TEMP,BCP_bcp_reliability,BCP reliability,CASING_TEMPERATURE_2
86,Turbine1,M1.DBZONE_RH_3,ECONINFLW SELD  XMTR,BCP_bcp_reliability,BCP reliability,DISCHARGE_FLOW_1
87,Turbine1,M1.DBZONE_XO_1,ECON INLET FW   PRESS,BCP_bcp_reliability,BCP reliability,DISCHARGE_PRESSURE_1
88,Turbine1,M1.DBZONE_XO_2,ECON INLET HDR  METAL TEMP 1,BCP_bcp_reliability,BCP reliability,DISCHARGE_TEMPERATURE_1
89,Turbine1,M1.DBZONE_XO_3,"UNIT LOAD (MW,  ACTUAL)",BCP_bcp_reliability,BCP reliability,GENERATOR_WATTS
90,Turbine1,M1.DCUR_A,BRP MTR AMPS,BCP_bcp_reliability,BCP reliability,MOTOR_CURRENT
91,Turbine1,M1.DCUR_B,BRP DISCHARGE   LCV POS,BCP_bcp_reliability,BCP reliability,PUMP_UG_VALVE_DEMAND
92,Turbine1,M1.DCUR_C,BRP DISCHARGE   LCV POS,BCP_bcp_reliability,BCP reliability,PUMP_UG_VALVE_POSITION
93,Turbine1,M1.DF,ECO INLT FW FLOW (01),BCP_bcp_reliability,BCP reliability,
94,Turbine1,M1.DMVR_DPY,FW FLOW (02),BCP_bcp_reliability,BCP reliability,
95,Turbine1,M1.DPF,SEPARATOR TK 1A LVL,BCP_bcp_reliability,BCP reliability,
96,Turbine1,M1.DPF1,SEPARATOR TK 1B LVL,BCP_bcp_reliability,BCP reliability,
97,Turbine1,M1.DTF_EX,BRP DIFF PRESS,BCP_bcp_reliability,BCP reliability,
98,Turbine1,M1.DV,BRP INLET WATER TEMP,BCP_bcp_reliability,BCP reliability,
99,Turbine1,M1.DVFDIF_EX,"EXHAUST HOOD ""A""",CONDENSER_condenser_performance,CONDENSER performance,
100,Turbine1,M1.DVF_EX,"EXHAUST HOOD ""B""",CONDENSER_condenser_performance,CONDENSER performance,
101,Turbine1,M1.DVLT_AB,"UNIT LOAD (MW,  ACTUAL)",CONDENSER_condenser_performance,CONDENSER performance,GENERATOR_WATTS
102,Turbine1,M1.DVLT_BC,MN CND HTWL A   OTLT TEMP,CONDENSER_condenser_performance,CONDENSER performance,
103,Turbine1,M1.DVLT_CA,HOTWELL  A  LEVEL,CONDENSER_condenser_performance,CONDENSER performance,
104,Turbine1,M1.DVTDIF_EX,MN CND HTWL B   OTLT TEMP,CONDENSER_condenser_performance,CONDENSER performance,
105,Turbine1,M1.DVX,HOTWELL B  LEVEL,CONDENSER_condenser_performance,CONDENSER performance,
106,Turbine1,M1.DV_ERR,3HOTWELL MAKEUP,CONDENSER_condenser_performance,CONDENSER performance,
107,Turbine1,M1.DW1,COP DISCH FLOW,COP_C_cop_reliability,COP C reliability,
108,Turbine1,M1.DWATT_EX,COP DISCH HDR   PRESS,COP_C_cop_reliability,COP C reliability,
109,Turbine1,M1.DWR,MN CND HTWL A   OTLT TEMP,COP_C_cop_reliability,COP C reliability,
